term_name,definition,definition_source,definition_source_text,definition_source_link,related_terms,canonical_uri,widoco_link,source_version,source_timestamp,query_checksum
AbundanceDataType,Classification describing whether a conservation-unit data series supports absolute abundance metrics (Abs_Abd) or only relative index metrics (RelIdx) in WSP workflows.,https://github.com/sos-program/Approved-WSP-Statuses,,https://github.com/sos-program/Approved-WSP-Statuses,,https://w3id.org/gcdfo/salmon#AbundanceDataType,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#AbundanceDataType,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
AbundancePercentileMetric,Percentile rank of current generational abundance relative to historical distribution.,Source documented in WSP integration proposal,Source documented in WSP integration proposal,https://github.com/sos-program/WSP-Metrics-Pkg,Observed rate or abundance (subClassOf) [https://w3id.org/gcdfo/salmon#ObservedRateOrAbundance],https://w3id.org/gcdfo/salmon#AbundancePercentileMetric,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#AbundancePercentileMetric,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
Age at maturity basis,Age measured at maturity.,,,,Age basis (broader) [https://w3id.org/gcdfo/salmon#AgeBasis]; Age basis scheme (inScheme) [https://w3id.org/gcdfo/salmon#AgeBasisScheme],https://w3id.org/gcdfo/salmon#AgeAtMaturityBasis,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#AgeAtMaturityBasis,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
Age at return basis,Age measured at return migration (adult return timing).,,,,Age basis (broader) [https://w3id.org/gcdfo/salmon#AgeBasis]; Age basis scheme (inScheme) [https://w3id.org/gcdfo/salmon#AgeBasisScheme],https://w3id.org/gcdfo/salmon#AgeAtReturnBasis,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#AgeAtReturnBasis,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
Age at sampling basis,Age measured at the time of sampling or observation.,,,,Age basis (broader) [https://w3id.org/gcdfo/salmon#AgeBasis]; Age basis scheme (inScheme) [https://w3id.org/gcdfo/salmon#AgeBasisScheme],https://w3id.org/gcdfo/salmon#AgeAtSamplingBasis,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#AgeAtSamplingBasis,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
Age basis,The reference event or life-history point that an age value is measured against.,,,,Age basis scheme (inScheme) [https://w3id.org/gcdfo/salmon#AgeBasisScheme],https://w3id.org/gcdfo/salmon#AgeBasis,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#AgeBasis,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
Age basis scheme,"Controlled vocabulary for the reference event used by an age value (for example, age at return).",,,,,https://w3id.org/gcdfo/salmon#AgeBasisScheme,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#AgeBasisScheme,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
Age notation,A notation system used to encode salmon age values in stock assessment data.,,,,Age notation scheme (inScheme) [https://w3id.org/gcdfo/salmon#AgeNotationScheme],https://w3id.org/gcdfo/salmon#AgeNotation,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#AgeNotation,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
Age notation scheme,"Controlled vocabulary for salmon age notation systems (for example, Gilbert-Rich and European notation).",,,,,https://w3id.org/gcdfo/salmon#AgeNotationScheme,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#AgeNotationScheme,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
BenchmarkRatioMetric,Dimensionless ratio of generational average abundance to a benchmark threshold used in WSP rapid-status logic.,Source documented in WSP integration proposal,Source documented in WSP integration proposal,https://github.com/sos-program/WSP-Metrics-Pkg,Observed rate or abundance (subClassOf) [https://w3id.org/gcdfo/salmon#ObservedRateOrAbundance],https://w3id.org/gcdfo/salmon#BenchmarkRatioMetric,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#BenchmarkRatioMetric,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
