term_name,definition,definition_source,definition_source_text,definition_source_link,related_terms,canonical_uri,widoco_link,source_version,source_timestamp,query_checksum
Absolute abundance,Wild Salmon Policy metric comparing generational average spawner abundance to COSEWIC criterion D1 thresholds.,,,,,https://w3id.org/dfoc/salmon#absoluteAbundanceMetric,https://w3id.org/dfoc/salmon/widoco/index.html#absoluteAbundanceMetric,5865432c5b56e85c1c18aa8f818882954710c03b,2025-11-25T20:10:14.898446+00:00,56806b04733e49b9a54fe726db297d4ca8a5bb191c226250e70da8e5bd3b0ba6
Amber zone,"Amber status implies caution in the management of the Conservation Unit. While a CU in the Amber zone should be at a low risk of loss, there will be a degree of lost production. Decisions about the conservation of CUs in the Amber zone will involve broader consideration of biological, social, and economic issues. ",Fisheries and Oceans Canada. (2021). Wild Salmon Policy 2018-2022 Implementation Plan. Available at https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/40728109.pdf.,Fisheries and Oceans Canada. (2021). Wild Salmon Policy 2018-2022 Implementation Plan. Available at https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/40728109.pdf.,,,https://w3id.org/dfoc/salmon#AmberZone,https://w3id.org/dfoc/salmon/widoco/index.html#AmberZone,5865432c5b56e85c1c18aa8f818882954710c03b,2025-11-25T20:10:14.898446+00:00,56806b04733e49b9a54fe726db297d4ca8a5bb191c226250e70da8e5bd3b0ba6
Cautious zone,"In the cautious zone, decisions and strategies promote stock rebuilding to the healthy zone. The stock is considered to be in the “cautious zone” if the biomass, or its index, is higher than 40% of BMSY but lower than 80% of BMSY. In other words:  40% BMSY < Biomass < 80% BMSY.",Fisheries and Oceans Canada. (2009). A fishery decision-making framework incorporating the precautionary approach. Available at https://www.dfo-mpo.gc.ca/reports-rapports/regs/sff-cpd/precaution-eng.htm. [Accessed 09-10-2025].,Fisheries and Oceans Canada. (2009). A fishery decision-making framework incorporating the precautionary approach. Available at https://www.dfo-mpo.gc.ca/reports-rapports/regs/sff-cpd/precaution-eng.htm. [Accessed 09-10-2025].,,Stock status zone (subClassOf) [https://w3id.org/dfoc/salmon#StockStatusZone],https://w3id.org/dfoc/salmon#CautiousZone,https://w3id.org/dfoc/salmon/widoco/index.html#CautiousZone,5865432c5b56e85c1c18aa8f818882954710c03b,2025-11-25T20:10:14.898446+00:00,56806b04733e49b9a54fe726db297d4ca8a5bb191c226250e70da8e5bd3b0ba6
Cautious zone harvest requirement,Requirement to document precautionary harvest measures when a CU resides between the limit and upper stock reference points.,,,,Requirement (subClassOf) [https://w3id.org/dfoc/salmon#Requirement],https://w3id.org/dfoc/salmon#CautiousHarvestReviewRequirement,https://w3id.org/dfoc/salmon/widoco/index.html#CautiousHarvestReviewRequirement,5865432c5b56e85c1c18aa8f818882954710c03b,2025-11-25T20:10:14.898446+00:00,56806b04733e49b9a54fe726db297d4ca8a5bb191c226250e70da8e5bd3b0ba6
Conservation Unit,"A group of fish sufficiently isolated from other groups that, if extirpated, is very unlikely to recolonize naturally within an acceptable timeframe.",Fisheries and Oceans Canada. (2005). Canada's Policy for Conservation of Wild Pacific Salmon. Retrieved from https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/315577.pdf.,Fisheries and Oceans Canada. (2005). Canada's Policy for Conservation of Wild Pacific Salmon. Retrieved from https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/315577.pdf.,,Reporting or management stratum (subClassOf) [https://w3id.org/dfoc/salmon#ReportingOrManagementStratum],https://w3id.org/dfoc/salmon#ConservationUnit,https://w3id.org/dfoc/salmon/widoco/index.html#ConservationUnit,5865432c5b56e85c1c18aa8f818882954710c03b,2025-11-25T20:10:14.898446+00:00,56806b04733e49b9a54fe726db297d4ca8a5bb191c226250e70da8e5bd3b0ba6
COSEWIC,"The Committee on the Status of Endangered Wildlife in Canada (COSEWIC) is an independent advisory panel to the Minister of Environment and Climate Change Canada that meets twice a year to assess the status of wildlife species at risk of extinction. Members are wildlife biology experts from academia, government, non-governmental organizations and the private sector responsible for designating wildlife species in danger of disappearing from Canada.",COSEWIC. (2003). COSEWIC - Committee on the Status of Endangered Wildlife in Canada. Available at cosewic.ca/index.php/en/ [Accessed 09-10-2025].,COSEWIC. (2003). COSEWIC - Committee on the Status of Endangered Wildlife in Canada. Available at cosewic.ca/index.php/en/ [Accessed 09-10-2025].,,Agent (subClassOf) [http://rs.tdwg.org/dwc/terms/Agent],https://w3id.org/dfoc/salmon#COSEWIC,https://w3id.org/dfoc/salmon/widoco/index.html#COSEWIC,5865432c5b56e85c1c18aa8f818882954710c03b,2025-11-25T20:10:14.898446+00:00,56806b04733e49b9a54fe726db297d4ca8a5bb191c226250e70da8e5bd3b0ba6
Critical zone,"In the critical zone, stock growth is promoted and removals are kept to the lowest possible level. The stock is considered to be in “the critical zone” if the mature biomass, or its index, is less than or equal to 40% of BMSY. In other words:  Biomass ≤ 40% BMSY.",Fisheries and Oceans Canada. (2009). A fishery decision-making framework incorporating the precautionary approach. Available at https://www.dfo-mpo.gc.ca/reports-rapports/regs/sff-cpd/precaution-eng.htm. [Accessed 09-10-2025].,Fisheries and Oceans Canada. (2009). A fishery decision-making framework incorporating the precautionary approach. Available at https://www.dfo-mpo.gc.ca/reports-rapports/regs/sff-cpd/precaution-eng.htm. [Accessed 09-10-2025].,,Stock status zone (subClassOf) [https://w3id.org/dfoc/salmon#StockStatusZone],https://w3id.org/dfoc/salmon#CriticalZone,https://w3id.org/dfoc/salmon/widoco/index.html#CriticalZone,5865432c5b56e85c1c18aa8f818882954710c03b,2025-11-25T20:10:14.898446+00:00,56806b04733e49b9a54fe726db297d4ca8a5bb191c226250e70da8e5bd3b0ba6
CU accounting note requirement,"Requirement to document how conservation units were included, excluded, or proxied during an assessment.",,,,Requirement (subClassOf) [https://w3id.org/dfoc/salmon#Requirement],https://w3id.org/dfoc/salmon#CUAccountingNoteRequirement,https://w3id.org/dfoc/salmon/widoco/index.html#CUAccountingNoteRequirement,5865432c5b56e85c1c18aa8f818882954710c03b,2025-11-25T20:10:14.898446+00:00,56806b04733e49b9a54fe726db297d4ca8a5bb191c226250e70da8e5bd3b0ba6
Data Deficient,A category that applies when the available information is insufficient (a) to resolve a Wildlife Species' eligibility for assessment or (b) to permit an assessment of the Wildlife Species' risk of extinction.,COSEWIC. (2021). COSEWIC - Status categories. Available at https://cosewic.ca/index.php/en/assessment-process/cosewic-assessment-process-categories-and-guidelines/status-categories.html. [Accessed 09-10-2025].,COSEWIC. (2021). COSEWIC - Status categories. Available at https://cosewic.ca/index.php/en/assessment-process/cosewic-assessment-process-categories-and-guidelines/status-categories.html. [Accessed 09-10-2025].,,COSEWIC status category (subClassOf) [https://w3id.org/dfoc/salmon#COSEWICStatusCategory],https://w3id.org/dfoc/salmon#DataDeficient,https://w3id.org/dfoc/salmon/widoco/index.html#DataDeficient,5865432c5b56e85c1c18aa8f818882954710c03b,2025-11-25T20:10:14.898446+00:00,56806b04733e49b9a54fe726db297d4ca8a5bb191c226250e70da8e5bd3b0ba6
Designatable Unit,"A unit of Canadian biodiversity that is discrete and evolutionarily significant, where discrete means that there is currently very little transmission of heritable (cultural or genetic) information from other such units, and evolutionarily significant means that the unit harbors heritable adaptive traits or an evolutionary history not found elsewhere in Canada.",COSEWIC. (2023). COSEWIC guidelines for recognizing designatable units. Available at https://cosewic.ca/index.php/en/reports/preparing-status-reports/guidelines-recognizing-designatable-units.html [Accessed 09-10-2025].,COSEWIC. (2023). COSEWIC guidelines for recognizing designatable units. Available at https://cosewic.ca/index.php/en/reports/preparing-status-reports/guidelines-recognizing-designatable-units.html [Accessed 09-10-2025].,,Reporting or management stratum (subClassOf) [https://w3id.org/dfoc/salmon#ReportingOrManagementStratum],https://w3id.org/dfoc/salmon#DesignatableUnit,https://w3id.org/dfoc/salmon/widoco/index.html#DesignatableUnit,5865432c5b56e85c1c18aa8f818882954710c03b,2025-11-25T20:10:14.898446+00:00,56806b04733e49b9a54fe726db297d4ca8a5bb191c226250e70da8e5bd3b0ba6
