term_name,definition,definition_source,definition_source_text,definition_source_link,related_terms,canonical_uri,widoco_link,source_version,source_timestamp,query_checksum
Aerial Survey Count,Repeated overflights enumerate visible spawners over defined waterbodies using helicopter fixed wing or drone platforms. Flight lines altitude sensor settings and ground sampling distance are documented and imagery may be reviewed post flight.,,,,Enumeration Method (broader) [https://w3id.org/gcdfo/salmon#EnumerationMethod]; Enumeration Method Scheme (inScheme) [https://w3id.org/gcdfo/salmon#EnumerationMethodScheme],https://w3id.org/gcdfo/salmon#AerialSurveyCount,https://w3id.org/gcdfo/salmon/widoco/index.html#AerialSurveyCount,16c2e13d2f5bcf6bb473fd168e2bca74daf206e0,2025-12-16T22:14:38.625018+00:00,70d12e87b6def64acb9fd86fc4facfdb57ee860a65db0f57c1b3d398d6918b2f
Area Under the Curve,Integrates serial counts over time using a survey‑life parameter; may apply observer efficiency.,,,,Enumeration Method (broader) [https://w3id.org/gcdfo/salmon#EnumerationMethod]; Enumeration Method Scheme (inScheme) [https://w3id.org/gcdfo/salmon#EnumerationMethodScheme]; Estimate Method (broader) [https://w3id.org/gcdfo/salmon#EstimateMethod]; Estimate Method Scheme (inScheme) [https://w3id.org/gcdfo/salmon#EstimateMethodScheme],https://w3id.org/gcdfo/salmon#AreaUnderTheCurve,https://w3id.org/gcdfo/salmon/widoco/index.html#AreaUnderTheCurve,16c2e13d2f5bcf6bb473fd168e2bca74daf206e0,2025-12-16T22:14:38.625018+00:00,70d12e87b6def64acb9fd86fc4facfdb57ee860a65db0f57c1b3d398d6918b2f
Census by Manual Count at Fixed Site,Salmon are guided through a controlled opening in a fence/weir where trained observers visually tally each passage event on a continuous or daily schedule. Counting chambers/windows and SIL/SEN daily logs document coverage; bypass routes are monitored and closed where possible.,,,,Enumeration Method (broader) [https://w3id.org/gcdfo/salmon#EnumerationMethod]; Enumeration Method Scheme (inScheme) [https://w3id.org/gcdfo/salmon#EnumerationMethodScheme],https://w3id.org/gcdfo/salmon#CensusByManualCountAtFixedSite,https://w3id.org/gcdfo/salmon/widoco/index.html#CensusByManualCountAtFixedSite,16c2e13d2f5bcf6bb473fd168e2bca74daf206e0,2025-12-16T22:14:38.625018+00:00,70d12e87b6def64acb9fd86fc4facfdb57ee860a65db0f57c1b3d398d6918b2f
Enumeration Method,A method used to enumerate or count salmon in the field,,,,Enumeration Method Scheme (inScheme) [https://w3id.org/gcdfo/salmon#EnumerationMethodScheme],https://w3id.org/gcdfo/salmon#EnumerationMethod,https://w3id.org/gcdfo/salmon/widoco/index.html#EnumerationMethod,16c2e13d2f5bcf6bb473fd168e2bca74daf206e0,2025-12-16T22:14:38.625018+00:00,70d12e87b6def64acb9fd86fc4facfdb57ee860a65db0f57c1b3d398d6918b2f
Escapement,The process by which mature salmon pass through (or escape) fisheries and return to fresh water to spawn.,Fisheries and Oceans Canada. (2005). Canada's Policy for Conservation of Wild Pacific Salmon. Retrieved from https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/315577.pdf.,Fisheries and Oceans Canada. (2005). Canada's Policy for Conservation of Wild Pacific Salmon. Retrieved from https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/315577.pdf.,,process (subClassOf) [http://purl.obolibrary.org/obo/BFO_0000015],https://w3id.org/gcdfo/salmon#Escapement,https://w3id.org/gcdfo/salmon/widoco/index.html#Escapement,16c2e13d2f5bcf6bb473fd168e2bca74daf206e0,2025-12-16T22:14:38.625018+00:00,70d12e87b6def64acb9fd86fc4facfdb57ee860a65db0f57c1b3d398d6918b2f
Escapement measurement,Salmon escapement count,,,,measurement datum (subClassOf) [http://purl.obolibrary.org/obo/IAO_0000109],https://w3id.org/gcdfo/salmon#EscapementMeasurement,https://w3id.org/gcdfo/salmon/widoco/index.html#EscapementMeasurement,16c2e13d2f5bcf6bb473fd168e2bca74daf206e0,2025-12-16T22:14:38.625018+00:00,70d12e87b6def64acb9fd86fc4facfdb57ee860a65db0f57c1b3d398d6918b2f
Escapement Survey Event,A survey event specifically for estimating escapement.,,,,Survey event (subClassOf) [https://w3id.org/gcdfo/salmon#SurveyEvent],https://w3id.org/gcdfo/salmon#EscapementSurveyEvent,https://w3id.org/gcdfo/salmon/widoco/index.html#EscapementSurveyEvent,16c2e13d2f5bcf6bb473fd168e2bca74daf206e0,2025-12-16T22:14:38.625018+00:00,70d12e87b6def64acb9fd86fc4facfdb57ee860a65db0f57c1b3d398d6918b2f
Fixed‑Station Tally,Seasonal total = roll‑up of daily/continuous counts from a fixed (non‑sonar) station; simple arithmetic with documented coverage.,,,,Estimate Method (broader) [https://w3id.org/gcdfo/salmon#EstimateMethod]; Estimate Method Scheme (inScheme) [https://w3id.org/gcdfo/salmon#EstimateMethodScheme],https://w3id.org/gcdfo/salmon#FixedStationTally,https://w3id.org/gcdfo/salmon/widoco/index.html#FixedStationTally,16c2e13d2f5bcf6bb473fd168e2bca74daf206e0,2025-12-16T22:14:38.625018+00:00,70d12e87b6def64acb9fd86fc4facfdb57ee860a65db0f57c1b3d398d6918b2f
Indicator river,"All spawning streams that are listed to be monitored by DFO are classified as an indicator or non-indicator stream. Indicator streams are those that have been identified in some Regions as providing more reliable indices of spawner abundance. Indicator streams tend to give relatively accurate annual spawner abundance estimates, given that they use higher quality methodologies and are more intensively/regularly surveyed. Indicator streams are also assumed to be representative of spawner returns to other streams in close geographic proximity. Non-indicator streams are typically less consistently surveyed, using more variable methodologies, and/or may simply be difficult to survey (e.g., poor water quality, remote location, etc.).",,,,lotic water body (subClassOf) [http://purl.obolibrary.org/obo/ENVO_01000618],https://w3id.org/gcdfo/salmon#IndicatorRiver,https://w3id.org/gcdfo/salmon/widoco/index.html#IndicatorRiver,16c2e13d2f5bcf6bb473fd168e2bca74daf206e0,2025-12-16T22:14:38.625018+00:00,70d12e87b6def64acb9fd86fc4facfdb57ee860a65db0f57c1b3d398d6918b2f
Observed rate or abundance,"A measurement datum representing an empirically observed rate, count, or abundance derived from monitoring or survey data.",,,,measurement datum (subClassOf) [http://purl.obolibrary.org/obo/IAO_0000109],https://w3id.org/gcdfo/salmon#ObservedRateOrAbundance,https://w3id.org/gcdfo/salmon/widoco/index.html#ObservedRateOrAbundance,16c2e13d2f5bcf6bb473fd168e2bca74daf206e0,2025-12-16T22:14:38.625018+00:00,70d12e87b6def64acb9fd86fc4facfdb57ee860a65db0f57c1b3d398d6918b2f
