term_name,definition,definition_source,definition_source_text,definition_source_link,related_terms,canonical_uri,widoco_link,source_version,source_timestamp,query_checksum
Conservation Unit,"A group of fish sufficiently isolated from other groups that, if extirpated, is very unlikely to recolonize naturally within an acceptable timeframe.",Canada's Policy for Conservation of Wild Pacific Salmon Glossary.,Canada's Policy for Conservation of Wild Pacific Salmon Glossary.,https://www.pac.dfo-mpo.gc.ca/fm-gp/salmon-saumon/wsp-pss/policy-politique-eng.html#glossary,Reporting or management stratum (subClassOf) [https://w3id.org/gcdfo/salmon#ReportingOrManagementStratum],https://w3id.org/gcdfo/salmon#ConservationUnit,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#ConservationUnit,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,73d38ca74b78839598551528e5ac3927cbf6ac7a0fcaae4c8bb6dcf226bd45e7
Conservation Unit of,Relates a Conservation Unit to the Stock Management Unit it belongs to.,,,,,https://w3id.org/gcdfo/salmon#conservationUnitOf,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#conservationUnitOf,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,73d38ca74b78839598551528e5ac3927cbf6ac7a0fcaae4c8bb6dcf226bd45e7
COSEWIC Status Scheme,Controlled vocabulary for COSEWIC statuses,,,,,https://w3id.org/gcdfo/salmon#COSEWICStatusScheme,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#COSEWICStatusScheme,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,73d38ca74b78839598551528e5ac3927cbf6ac7a0fcaae4c8bb6dcf226bd45e7
Fish Stocks Provisions,"Legal provisions in Canada's Fisheries Act and regulations related to maintaining and rebuilding fish stocks, including obligations triggered when reference points are breached.",,,,Policy framework (broader) [https://w3id.org/gcdfo/salmon#PolicyFramework]; Policy framework scheme (inScheme) [https://w3id.org/gcdfo/salmon#PolicyFrameworkScheme],https://w3id.org/gcdfo/salmon#FishStockProvisions,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#FishStockProvisions,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,73d38ca74b78839598551528e5ac3927cbf6ac7a0fcaae4c8bb6dcf226bd45e7
Green zone,"Social and economic considerations will tend to be the primary drivers for the management of Conservation Units in the Green zone, though ecosystem or other non-consumptive use values could also be considered.",Fisheries and Oceans Canada. (2021). Wild Salmon Policy 2018-2022 Implementation Plan. Available at https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/40728109.pdf.,Fisheries and Oceans Canada. (2021). Wild Salmon Policy 2018-2022 Implementation Plan. Available at https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/40728109.pdf.,,Wild Salmon Policy Status Zone (inScheme) [https://w3id.org/gcdfo/salmon#WSPBiologicalStatusZoneScheme],https://w3id.org/gcdfo/salmon#GreenZone,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#GreenZone,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,73d38ca74b78839598551528e5ac3927cbf6ac7a0fcaae4c8bb6dcf226bd45e7
has Conservation Unit,Relates a Stock Management Unit to one of its constituent Conservation Units.,,,,,https://w3id.org/gcdfo/salmon#hasConservationUnit,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#hasConservationUnit,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,73d38ca74b78839598551528e5ac3927cbf6ac7a0fcaae4c8bb6dcf226bd45e7
Limit reference point,"A fish stock experiencing serious harm may be depleted to the point where it has impaired productivity or reproductive capacity. As a result, the stock would be less resilient to fishing and could not easily rebuild. Serious harm may be irreversible, or only slowly reversible over the long-term, and can be due to fishing, other human-induced impacts, or natural causes. Under the Precautionary Approach policy and the Fish Stocks Provisions (FSPs), breaching the LRP is a trigger for a rebuilding plan.",Fisheries and Oceans Canada. (2024). Introduction to Stock Assessment - Glossary. https://www.dfo-mpo.gc.ca/science/species-especes/fisheries-halieutiques/assessment-evaluation/glossary-glossaire/index-eng.html. [Accessed 09-10-2025].,Fisheries and Oceans Canada. (2024). Introduction to Stock Assessment - Glossary. https://www.dfo-mpo.gc.ca/science/species-especes/fisheries-halieutiques/assessment-evaluation/glossary-glossaire/index-eng.html. [Accessed 09-10-2025].,,Reference point (subClassOf) [https://w3id.org/gcdfo/salmon#ReferencePoint],https://w3id.org/gcdfo/salmon#LimitReferencePoint,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#LimitReferencePoint,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,73d38ca74b78839598551528e5ac3927cbf6ac7a0fcaae4c8bb6dcf226bd45e7
Lower biological benchmark,Lower benchmark value for a metric used to delineate Wild Salmon Policy status zones (typically the boundary between Red and Amber zones).,Fisheries and Oceans Canada. (2021). Wild Salmon Policy 2018-2022 Implementation Plan. Available at https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/40728109.pdf.,Fisheries and Oceans Canada. (2021). Wild Salmon Policy 2018-2022 Implementation Plan. Available at https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/40728109.pdf.,https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/40728109.pdf,Metric benchmark (subClassOf) [https://w3id.org/gcdfo/salmon#MetricBenchmark],https://w3id.org/gcdfo/salmon#LowerBiologicalBenchmark,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#LowerBiologicalBenchmark,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,73d38ca74b78839598551528e5ac3927cbf6ac7a0fcaae4c8bb6dcf226bd45e7
Management reference context,Measurement context indicating values are management benchmarks or reference-oriented metrics.,,,,Measurement context (broader) [https://w3id.org/gcdfo/salmon#MeasurementContext]; Measurement context scheme (inScheme) [https://w3id.org/gcdfo/salmon#MeasurementContextScheme],https://w3id.org/gcdfo/salmon#ManagementReferenceContext,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#ManagementReferenceContext,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,73d38ca74b78839598551528e5ac3927cbf6ac7a0fcaae4c8bb6dcf226bd45e7
Policy framework,"A policy, legal, or governance framework that defines how salmon status metrics, benchmarks, or reference points are set and interpreted.",,,,Policy framework scheme (inScheme) [https://w3id.org/gcdfo/salmon#PolicyFrameworkScheme],https://w3id.org/gcdfo/salmon#PolicyFramework,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#PolicyFramework,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,73d38ca74b78839598551528e5ac3927cbf6ac7a0fcaae4c8bb6dcf226bd45e7
