term_name,definition,definition_source,definition_source_text,definition_source_link,related_terms,canonical_uri,widoco_link,source_version,source_timestamp,query_checksum
AbundanceDataType,Classification describing whether a conservation-unit data series supports absolute abundance metrics (Abs_Abd) or only relative index metrics (RelIdx) in WSP workflows.,https://github.com/sos-program/Approved-WSP-Statuses,,https://github.com/sos-program/Approved-WSP-Statuses,,https://w3id.org/gcdfo/salmon#AbundanceDataType,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#AbundanceDataType,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
AbundancePercentileMetric,Percentile rank of current generational abundance relative to historical distribution.,Source documented in WSP integration proposal,Source documented in WSP integration proposal,https://github.com/sos-program/WSP-Metrics-Pkg,Observed rate or abundance (subClassOf) [https://w3id.org/gcdfo/salmon#ObservedRateOrAbundance],https://w3id.org/gcdfo/salmon#AbundancePercentileMetric,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#AbundancePercentileMetric,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
Aerial Survey Count,"Overflights (helicopter, fixed wing, or drone) with documented flight lines, coverage, visibility, and sensor settings. Imagery may be reviewed post-flight.",,,,Enumeration Method (broader) [https://w3id.org/gcdfo/salmon#EnumerationMethod]; Escapement Enumeration Method Scheme (inScheme) [https://w3id.org/gcdfo/salmon#EnumerationMethodScheme],https://w3id.org/gcdfo/salmon#AerialSurveyCount,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#AerialSurveyCount,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
Age 1 year class,Age class value 1 year.,,,,Age class value (broader) [https://w3id.org/gcdfo/salmon#AgeClassValue]; Age class value scheme (inScheme) [https://w3id.org/gcdfo/salmon#AgeClassValueScheme],https://w3id.org/gcdfo/salmon#Age1YearClass,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#Age1YearClass,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
Age 2 year class,Age class value 2 years.,,,,Age class value (broader) [https://w3id.org/gcdfo/salmon#AgeClassValue]; Age class value scheme (inScheme) [https://w3id.org/gcdfo/salmon#AgeClassValueScheme],https://w3id.org/gcdfo/salmon#Age2YearClass,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#Age2YearClass,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
Age 3 year class,Age class value 3 years.,,,,Age class value (broader) [https://w3id.org/gcdfo/salmon#AgeClassValue]; Age class value scheme (inScheme) [https://w3id.org/gcdfo/salmon#AgeClassValueScheme],https://w3id.org/gcdfo/salmon#Age3YearClass,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#Age3YearClass,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
Age 4 year class,Age class value 4 years.,,,,Age class value (broader) [https://w3id.org/gcdfo/salmon#AgeClassValue]; Age class value scheme (inScheme) [https://w3id.org/gcdfo/salmon#AgeClassValueScheme],https://w3id.org/gcdfo/salmon#Age4YearClass,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#Age4YearClass,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
Age 5 year class,Age class value 5 years.,,,,Age class value (broader) [https://w3id.org/gcdfo/salmon#AgeClassValue]; Age class value scheme (inScheme) [https://w3id.org/gcdfo/salmon#AgeClassValueScheme],https://w3id.org/gcdfo/salmon#Age5YearClass,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#Age5YearClass,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
Age 6 year class,Age class value 6 years.,,,,Age class value (broader) [https://w3id.org/gcdfo/salmon#AgeClassValue]; Age class value scheme (inScheme) [https://w3id.org/gcdfo/salmon#AgeClassValueScheme],https://w3id.org/gcdfo/salmon#Age6YearClass,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#Age6YearClass,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
Age 7 year class,Age class value 7 years.,,,,Age class value (broader) [https://w3id.org/gcdfo/salmon#AgeClassValue]; Age class value scheme (inScheme) [https://w3id.org/gcdfo/salmon#AgeClassValueScheme],https://w3id.org/gcdfo/salmon#Age7YearClass,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#Age7YearClass,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
