Field,Short definition,Long definition,Unmatched field,table
CU_ID,CU ID,Alphanumeric ID number for conservation unit (CU) demographic unit. An official list of CU ID's and corresponding names can be found in the SMU/CU crosswalk in NuSEDS.,Yes,CU_METADATA
ID,ID,Auto-generated unique identifier for the record.,,CU_METADATA
CU_NAME,CU Name,The official CU name from the SMU/CU crosswalk,,CU_METADATA
SMU_ID,SMU_ID,Alphanumeric ID number for stock management unit (SMU) to which this CU belongs.,Yes,CU_METADATA
LIFE_HISTORY_TYPE,Life History Type,Describes the life cycle patterns of the salmon,Yes,CU_METADATA
CU_TYPE,CU Type,There are currently nine Conservation Unit (CU) groupings for Pacific salmon.,Yes,CU_METADATA
DFO_AREA,DFO Area,"The DFO (Fisheries and Oceans Canada) area that the unit resides in, either South Coast, North Coast, Fraser and Interior, Yukon Transboundary.",Yes,CU_METADATA
LRP,Limit Reference Point,The limit reference point (LRP) represents the lower bound below which the stock is considered to have suffered serious harm.,Yes,CU_METADATA
USR,Upper Stock Reference,"The upper stock reference (USR) is to serves as an upper stock status threshold, signaling when management actions should be taken to reduce harvest.",Yes,CU_METADATA
TR,Target Reference,"A management target reference point that represents a desirable level for the stock, above the USR.",Yes,CU_METADATA
RR,Removal Reference,Removal Reference (RR) represents the maximum allowable removal rate (fraction of the population that can be harvested).,Yes,CU_METADATA
LOWER_BIO_BENCHMARK,Lower Biological Benchmark,Definition not provided.,Yes,CU_METADATA
UPPER_BIO_BENCHMARK,Upper Biological Benchmark,Definition not provided.,Yes,CU_METADATA
LOWER_WSP_BENCHMARK,Lower WSP Benchmark,Lower Wild Salmon Policy Benchmark,,CU_METADATA
UPPER_WSP_BENCHMARK,Upper WSP Benchmark,Upper Wild Salmon Policy Benchmark,,CU_METADATA
START_YEAR,Start Year,The start year the times series index became available.,Yes,CU_METADATA
END_YEAR,End Year,"The year the unit (i.e., population, CU, SMU, etc.) reached the end of its time series index.",,CU_METADATA
METHOD_COLLECTION,Data Collection Methods,"Notes on data collection methds (data sources, methods, etc.).",Yes,CU_METADATA
METHOD_ANALYSIS,Data Analysis Methods,"Notes on data analysis (infill methods, analytical methods, etc.).",Yes,CU_METADATA
YEAR_TYPE,Year Method,"The type of year definition that is used in the dataset (e.g., calendar year, brood year).",Yes,CU_METADATA
AGE_TYPE,Age Method,"The type of age definition that is used in the dataset (e.g., freshwater age, ocean age).",Yes,CU_METADATA
INFORMATION_QUALITY,Information Quality,"Quality of the dataset quantified from 1-5 based on the data quality framework in Ogden 2015, section 2.3,",Yes,CU_METADATA
INDEX_QUALITY,Index Quality,Quality of the dataset quantified from 1-5 based on New Zealand Quality Index.,Yes,CU_METADATA
REFERENCE,Reference,Plain text reference for the report that the data was derived from.,Yes,CU_METADATA
CONTACT,Contact,Name and email contact for a data steward or expert who provided the data.,Yes,CU_METADATA
COMMENTS,Comments,Additional comments about the time series from data providers or stewards.,Yes,CU_METADATA
