Field,Short definition,Long definition,Unmatched field,table
ID,ID,Auto-generated unique identifier for the record.,,CUStatus
YEAR,Year,Year of data.,,CUStatus
STATUS,Status,Conservation Unit Status,,CUStatus
BENCHMARK_STATUS,Benchmark Status,Benchmark Status,,CUStatus
SPAWNER_ABUNDANCE,Spawner Abundance,Spawner Abundance,,CUStatus
RELATIVE_SPAWNER_ABUNDANCE,Relative Spawner Abundance,Relative Spawner Abundance,,CUStatus
RELATIVE_WILD_SPAWNER_ABUNDANCE,Relative Wild Spawner Abundance,Relative Wild Spawner Abundance,,CUStatus
RELATIVE_HATCHERY_SPAWNER_ABUNDANCE,Relative Hatchery Spawner Abundance,Relative Hatchery Spawner Abundance,,CUStatus
SPAWNER_ABUNDANCE_CHANGE,Spawner Abundance Change,Spawner Abundance Change,,CUStatus
RELATIVE_SPAWNER_ABUNDANCE_CHANGE,Relative Spawner Abundance Change,Relative Spawner Abundance Change,,CUStatus
RELATIVE_WILD_SPAWNER_ABUNDANCE_CHANGE,Relative Wild Spawner Abundance Change,Relative Wild Spawner Abundance Change,,CUStatus
RELATIVE_HATCHERY_SPAWNER_ABUNDANCE_CHANGE,Relative Hatchery Spawner Abundance Change,Relative Hatchery Spawner Abundance Change,,CUStatus
SPAWNER_ABUNDANCE_TREND,Spawner Abundance Trend,Spawner Abundance Trend,,CUStatus
RELATIVE_SPAWNER_ABUNDANCE_TREND,Relative Spawner Abundance Trend,Relative Spawner Abundance Trend,,CUStatus
RELATIVE_WILD_SPAWNER_ABUNDANCE_TREND,Relative Wild Spawner Abundance Trend,Relative Wild Spawner Abundance Trend,,CUStatus
RELATIVE_HATCHERY_SPAWNER_ABUNDANCE_TREND,Relative Hatchery Spawner Abundance Trend,Relative Hatchery Spawner Abundance Trend,,CUStatus
SPAWNER_ABUNDANCE_PERCENTILE,Spawner Abundance Percentile,Spawner Abundance Percentile,,CUStatus
RELATIVE_SPAWNER_ABUNDANCE_PERCENTILE,Relative Spawner Abundance Percentile,Relative Spawner Abundance Percentile,,CUStatus
RELATIVE_WILD_SPAWNER_ABUNDANCE_PERCENTILE,Relative Wild Spawner Abundance Percentile,Relative Wild Spawner Abundance Percentile,,CUStatus
RELATIVE_HATCHERY_SPAWNER_ABUNDANCE_PERCENTILE,Relative Hatchery Spawner Abundance Percentile,Relative Hatchery Spawner Abundance Percentile,,CUStatus
