Field,Short definition,Long definition,Unmatched field,table
CU_YEAR_ID,CU Year ID,Auto-generated unique ID for each CU-year record.,,CUYear
ID,ID,Auto-generated unique identifier for the record.,,CUYear
CU_ID,CU ID,Alphanumeric ID number for conservation unit (CU) demographic unit. An official list of CU ID's and corresponding names can be found in the SMU/CU crosswalk in NuSEDS.,,CUYear
YEAR,Year,Year of data (for this CU).,,CUYear
TOTAL_SPAWNERS,Total Spawners,Total number of spawners (fish that returned to spawn) for the year.,,CUYear
TOTAL_CATCH,Total Catch,Total catch across all fisheries for this CU in the year.,,CUYear
SPAWNERS,Spawners,Total number of spawners (fish that returned to spawn) for the year.,,CUYear
OCEAN_RUN_SIZE,Ocean Run Size,Ocean Run Size,,CUYear
TERMINAL_RUN_SIZE,Terminal Run Size,Terminal Run Size,,CUYear
TOTAL_RUN_SIZE,Total Run Size,Total Run Size,,CUYear
TOTAL_MORTALITY_RATE,Total Mortality Rate,Total Mortality Rate (all types),,CUYear
RECRUITS,Recruits,"Total Recruits (number of new fish added to the population via spawning, by brood year).",,CUYear
TOTAL_RUN,Total Run,Total Run (spawners plus all catch) for the year.,,CUYear
MAINSTEM_CATCH,Mainstem Catch,Catch in mainstem fisheries (in-river mainstem fisheries).,,CUYear
TOTAL_OCEAN_RUN,Total Ocean Run,Total Ocean Run Size,,CUYear
TOTAL_TERMINAL_RUN,Total Terminal Run,Total Terminal Run Size,,CUYear
MAINSTEM_AGE_1,Mainstem Age 1,Catch at Mainstem Age 1,,CUYear
MAINSTEM_AGE_2,Mainstem Age 2,Catch at Mainstem Age 2,,CUYear
MAINSTEM_AGE_3,Mainstem Age 3,Catch at Mainstem Age 3,,CUYear
MAINSTEM_AGE_4,Mainstem Age 4,Catch at Mainstem Age 4,,CUYear
MAINSTEM_AGE_5,Mainstem Age 5,Catch at Mainstem Age 5,,CUYear
MAINSTEM_AGE_6,Mainstem Age 6,Catch at Mainstem Age 6,,CUYear
MAINSTEM_AGE_7,Mainstem Age 7,Catch at Mainstem Age 7,,CUYear
MAINSTEM_MORTALITY_RATE,Mainstem Mortality Rate,Mainstem Mortality Rate (all types),,CUYear
OCEAN_CATCH,Ocean Catch,Ocean Catch (number of fish caught in ocean fisheries).,,CUYear
OCEAN_AGE_1,Ocean Age 1,Catch at Ocean Age 1,,CUYear
OCEAN_AGE_2,Ocean Age 2,Catch at Ocean Age 2,,CUYear
OCEAN_AGE_3,Ocean Age 3,Catch at Ocean Age 3,,CUYear
OCEAN_AGE_4,Ocean Age 4,Catch at Ocean Age 4,,CUYear
OCEAN_AGE_5,Ocean Age 5,Catch at Ocean Age 5,,CUYear
OCEAN_AGE_6,Ocean Age 6,Catch at Ocean Age 6,,CUYear
OCEAN_AGE_7,Ocean Age 7,Catch at Ocean Age 7,,CUYear
OCEAN_MORTALITY_RATE,Ocean Mortality Rate,Ocean Mortality Rate (all types),,CUYear
TERMINAL_CATCH,Terminal Catch,Terminal Catch (number of fish caught in terminal/in-river fisheries).,,CUYear
TERMINAL_AGE_1,Terminal Age 1,Catch at Terminal Age 1,,CUYear
TERMINAL_AGE_2,Terminal Age 2,Catch at Terminal Age 2,,CUYear
TERMINAL_AGE_3,Terminal Age 3,Catch at Terminal Age 3,,CUYear
TERMINAL_AGE_4,Terminal Age 4,Catch at Terminal Age 4,,CUYear
TERMINAL_AGE_5,Terminal Age 5,Catch at Terminal Age 5,,CUYear
TERMINAL_AGE_6,Terminal Age 6,Catch at Terminal Age 6,,CUYear
TERMINAL_AGE_7,Terminal Age 7,Catch at Terminal Age 7,,CUYear
TERMINAL_MORTALITY_RATE,Terminal Mortality Rate,Terminal Mortality Rate (all types),,CUYear
SPAWNERS_AGE_1,Spawners Age 1,Spawners Age 1 Count,,CUYear
SPAWNERS_AGE_2,Spawners Age 2,Spawners Age 2 Count,,CUYear
SPAWNERS_AGE_3,Spawners Age 3,Spawners Age 3 Count,,CUYear
SPAWNERS_AGE_4,Spawners Age 4,Spawners Age 4 Count,,CUYear
SPAWNERS_AGE_5,Spawners Age 5,Spawners Age 5 Count,,CUYear
SPAWNERS_AGE_6,Spawners Age 6,Spawners Age 6 Count,,CUYear
SPAWNERS_AGE_7,Spawners Age 7,Spawners Age 7 Count,,CUYear
RUN_AGE_1,Run Age 1,Run Age 1 Count,,CUYear
RUN_AGE_2,Run Age 2,Run Age 2 Count,,CUYear
RUN_AGE_3,Run Age 3,Run Age 3 Count,,CUYear
RUN_AGE_4,Run Age 4,Run Age 4 Count,,CUYear
RUN_AGE_5,Run Age 5,Run Age 5 Count,,CUYear
RUN_AGE_6,Run Age 6,Run Age 6 Count,,CUYear
RUN_AGE_7,Run Age 7,Run Age 7 Count,,CUYear
CATCH_AGE_1,Catch Age 1,Catch Age 1 Count,,CUYear
CATCH_AGE_2,Catch Age 2,Catch Age 2 Count,,CUYear
CATCH_AGE_3,Catch Age 3,Catch Age 3 Count,,CUYear
CATCH_AGE_4,Catch Age 4,Catch Age 4 Count,,CUYear
CATCH_AGE_5,Catch Age 5,Catch Age 5 Count,,CUYear
CATCH_AGE_6,Catch Age 6,Catch Age 6 Count,,CUYear
CATCH_AGE_7,Catch Age 7,Catch Age 7 Count,,CUYear
TOTAL_EXPLOITATION_RATE,Total Exploitation Rate,Total Exploitation Rate (all types),,CUYear
OCEAN_EXPLOITATION_RATE,Ocean Exploitation Rate,Ocean Exploitation Rate,,CUYear
