Field,Short definition,Long definition,Unmatched field,table
SMU_ID,SMU ID,Alphanumeric ID number for stock management unit (SMU) demographic unit. An official list of SMU ID's and corresponding names can be found in the NuSEDS CU/SMU Crosswalk,,INDICATOR_METADATA
INDICATOR_CWT,Indicator CWT,Coded Wire Tag for the indicator population (used as a representative population for the SMU).,,INDICATOR_METADATA
ID,ID,Auto-generated unique identifier for the record.,,INDICATOR_METADATA
INDICATOR_ID,Indicator ID,Indicator ID,,INDICATOR_METADATA
INDICATOR_NAME,Indicator Name,Indicator Name,,INDICATOR_METADATA
INDICATOR_TYPE,Indicator Type,Indicator Type,,INDICATOR_METADATA
INDICATOR_UNITS,Indicator Units,Indicator Units,,INDICATOR_METADATA
INDICATOR_DESCRIPTION,Indicator Description,Indicator Description,,INDICATOR_METADATA
START_YEAR,Start Year,The start year the times series index became available.,,INDICATOR_METADATA
END_YEAR,End Year,The end  year of the time series index.,,INDICATOR_METADATA
METHOD_COLLECTION,Data Collection Methods,"Notes on data collection methds (data sources, methods, etc.).",,INDICATOR_METADATA
METHOD_ANALYSIS,Data Analysis Methods,"Notes on data analysis (infill methods, analytical methods, etc.).",,INDICATOR_METADATA
YEAR_TYPE,Year Method,"The type of  year definition that is used in the dataset (e.g., calendar year, brood year).",,INDICATOR_METADATA
AGE_TYPE,Age Method,"The type of  age definition that is used in the dataset (e.g., freshwater age, ocean age).",,INDICATOR_METADATA
INDEX_QUALITY,Information Quality New Zealand Standard,Quality of the dataset quantified from 1-5 based on New Zealand Quality Index.,Yes,INDICATOR_METADATA
INFOMATION_QUALITY,Information Quality,"Quality of the dataset quantified from 1-5 based on the data quality framework in Ogden 2015, section 2.3,",,INDICATOR_METADATA
REFERENCE,Reference,Plain text reference for the report that the data was derived from.,,INDICATOR_METADATA
CONTACT,Contact,Name and email contact for a data steward or expert who provided the data.,,INDICATOR_METADATA
COMMENTS,Comments,Additional comments about the time series from data providers or stewards.,,INDICATOR_METADATA
