Field,Short definition,Long definition,Unmatched field,table
SMU_ID,SMU ID,Alphanumeric ID number for stock management unit (SMU) demographic unit. An official list of SMU ID's and corresponding names can be found in the NuSEDS CU/SMU Crosswalk,,INDICATOR_YEAR
INDICATOR_CWT,Indicator CWT,Coded Wire Tag for the indicator population (used as a representative population for the SMU).,,INDICATOR_YEAR
ID,ID,Auto-generated unique identifier for the record.,,INDICATOR_YEAR
INDICATOR_ID,Indicator ID,Indicator ID,,INDICATOR_YEAR
YEAR,Year,Year of Data,,INDICATOR_YEAR
INDICATOR_VALUE,Indicator Value,Indicator Value,,INDICATOR_YEAR
INDICATOR_TYPE,Indicator Type,Indicator Type,,INDICATOR_YEAR
INDICATOR_NAME,Indicator Name,Indicator Name,,INDICATOR_YEAR
INDICATOR_UNITS,Indicator Units,Indicator Units,,INDICATOR_YEAR
INDICATOR_DESCRIPTION,Indicator Description,Indicator Description,,INDICATOR_YEAR
TOTAL_SPAWNERS,Total Spawners,Total number of spawners (fish that returned to spawn) for the year.,,INDICATOR_YEAR
SPAWNERS_AGE_1,Spawners (Age 1),Number of spawners at age 1.,,INDICATOR_YEAR
SPAWNERS_AGE_2,Spawners (Age 2),Number of spawners at age 2.,,INDICATOR_YEAR
SPAWNERS_AGE_3,Spawners (Age 3),Number of spawners at age 3.,,INDICATOR_YEAR
SPAWNERS_AGE_4,Spawners (Age 4),Number of spawners at age 4.,,INDICATOR_YEAR
SPAWNERS_AGE_5,Spawners (Age 5),Number of spawners at age 5.,,INDICATOR_YEAR
SPAWNERS_AGE_6,Spawners (Age 6),Number of spawners at age 6.,,INDICATOR_YEAR
SPAWNERS_AGE_7,Spawners (Age 7),Number of spawners at age 7.,,INDICATOR_YEAR
RECRUITS,Recruits,"Total Recruits (number of new fish added to the population via spawning, by brood year).",,INDICATOR_YEAR
MARINE_SURVIVAL_INDEX,Marine Survival Index,Marine Survival Index,,INDICATOR_YEAR
TOTAL_EXPLOITATION_RATE,Total Exploitation Rate,Total Exploitation Rate (all types),,INDICATOR_YEAR
OCEAN_EXPLOITATION_RATE,Ocean Exploitation Rate,Ocean Exploitation Rate,,INDICATOR_YEAR
