Field,Short definition,Long definition,Unmatched field,table
PFMA_ID,PFMA ID,Pacific Fishery Management Area ID,,PFMA_YEAR
ID,ID,Auto-generated unique identifier for the record.,,PFMA_YEAR
YEAR,Year,Year of Data,,PFMA_YEAR
TOTAL_CATCH,Total Catch,Total Catch,,PFMA_YEAR
SPAWNERS,Spawners,Total number of spawners (fish that returned to spawn) for the year.,,PFMA_YEAR
OCEAN_RUN_SIZE,Ocean Run Size,Ocean Run Size,,PFMA_YEAR
TERMINAL_RUN_SIZE,Terminal Run Size,Terminal Run Size,,PFMA_YEAR
TOTAL_RUN_SIZE,Total Run Size,Total Run Size,,PFMA_YEAR
TOTAL_EXPLOITATION_RATE,Total Exploitation Rate,Total Exploitation Rate (all types),,PFMA_YEAR
OCEAN_EXPLOITATION_RATE,Ocean Exploitation Rate,Ocean Exploitation Rate,,PFMA_YEAR
MAINSTEM_CATCH,Mainstem Catch,Catch in mainstem fisheries (in-river mainstem fisheries).,,PFMA_YEAR
TOTAL_SPAWNERS,Total Spawners,Total number of spawners (fish that returned to spawn) for the year.,,PFMA_YEAR
TOTAL_OCEAN_RUN,Total Ocean Run,Total Ocean Run Size,,PFMA_YEAR
TOTAL_TERMINAL_RUN,Total Terminal Run,Total Terminal Run Size,,PFMA_YEAR
SPAWNERS_AGE_1,Spawners Age 1,Spawners Age 1 Count,,PFMA_YEAR
SPAWNERS_AGE_2,Spawners Age 2,Spawners Age 2 Count,,PFMA_YEAR
SPAWNERS_AGE_3,Spawners Age 3,Spawners Age 3 Count,,PFMA_YEAR
SPAWNERS_AGE_4,Spawners Age 4,Spawners Age 4 Count,,PFMA_YEAR
SPAWNERS_AGE_5,Spawners Age 5,Spawners Age 5 Count,,PFMA_YEAR
SPAWNERS_AGE_6,Spawners Age 6,Spawners Age 6 Count,,PFMA_YEAR
SPAWNERS_AGE_7,Spawners Age 7,Spawners Age 7 Count,,PFMA_YEAR
RUN_AGE_1,Run Age 1,Run Age 1 Count,,PFMA_YEAR
RUN_AGE_2,Run Age 2,Run Age 2 Count,,PFMA_YEAR
RUN_AGE_3,Run Age 3,Run Age 3 Count,,PFMA_YEAR
RUN_AGE_4,Run Age 4,Run Age 4 Count,,PFMA_YEAR
RUN_AGE_5,Run Age 5,Run Age 5 Count,,PFMA_YEAR
RUN_AGE_6,Run Age 6,Run Age 6 Count,,PFMA_YEAR
RUN_AGE_7,Run Age 7,Run Age 7 Count,,PFMA_YEAR
CATCH_AGE_1,Catch Age 1,Catch Age 1 Count,,PFMA_YEAR
CATCH_AGE_2,Catch Age 2,Catch Age 2 Count,,PFMA_YEAR
CATCH_AGE_3,Catch Age 3,Catch Age 3 Count,,PFMA_YEAR
CATCH_AGE_4,Catch Age 4,Catch Age 4 Count,,PFMA_YEAR
CATCH_AGE_5,Catch Age 5,Catch Age 5 Count,,PFMA_YEAR
CATCH_AGE_6,Catch Age 6,Catch Age 6 Count,,PFMA_YEAR
CATCH_AGE_7,Catch Age 7,Catch Age 7 Count,,PFMA_YEAR
OCEAN_CATCH,Ocean Catch,Ocean Catch,,PFMA_YEAR
OCEAN_AGE_1,Ocean Age 1,Catch at Ocean Age 1,,PFMA_YEAR
OCEAN_AGE_2,Ocean Age 2,Catch at Ocean Age 2,,PFMA_YEAR
OCEAN_AGE_3,Ocean Age 3,Catch at Ocean Age 3,,PFMA_YEAR
OCEAN_AGE_4,Ocean Age 4,Catch at Ocean Age 4,,PFMA_YEAR
OCEAN_AGE_5,Ocean Age 5,Catch at Ocean Age 5,,PFMA_YEAR
OCEAN_AGE_6,Ocean Age 6,Catch at Ocean Age 6,,PFMA_YEAR
OCEAN_AGE_7,Ocean Age 7,Catch at Ocean Age 7,,PFMA_YEAR
TERMINAL_CATCH,Terminal Catch,Terminal Catch,,PFMA_YEAR
TERMINAL_AGE_1,Terminal Age 1,Catch at Terminal Age 1,,PFMA_YEAR
TERMINAL_AGE_2,Terminal Age 2,Catch at Terminal Age 2,,PFMA_YEAR
TERMINAL_AGE_3,Terminal Age 3,Catch at Terminal Age 3,,PFMA_YEAR
TERMINAL_AGE_4,Terminal Age 4,Catch at Terminal Age 4,,PFMA_YEAR
TERMINAL_AGE_5,Terminal Age 5,Catch at Terminal Age 5,,PFMA_YEAR
TERMINAL_AGE_6,Terminal Age 6,Catch at Terminal Age 6,,PFMA_YEAR
TERMINAL_AGE_7,Terminal Age 7,Catch at Terminal Age 7,,PFMA_YEAR
MAINSTEM_AGE_1,Mainstem Age 1,Catch at Mainstem Age 1,,PFMA_YEAR
MAINSTEM_AGE_2,Mainstem Age 2,Catch at Mainstem Age 2,,PFMA_YEAR
MAINSTEM_AGE_3,Mainstem Age 3,Catch at Mainstem Age 3,,PFMA_YEAR
MAINSTEM_AGE_4,Mainstem Age 4,Catch at Mainstem Age 4,,PFMA_YEAR
MAINSTEM_AGE_5,Mainstem Age 5,Catch at Mainstem Age 5,,PFMA_YEAR
MAINSTEM_AGE_6,Mainstem Age 6,Catch at Mainstem Age 6,,PFMA_YEAR
MAINSTEM_AGE_7,Mainstem Age 7,Catch at Mainstem Age 7,,PFMA_YEAR
ER,ER,Exploitation Rate,,PFMA_YEAR
