Field,Short definition,Long definition,Unmatched field,table
POP_ID,Population ID,Population ID,,POP_YEAR
ID,ID,Auto-generated unique identifier for the record.,,POP_YEAR
YEAR,Year,Year of Data,,POP_YEAR
TOTAL_CATCH,Total Catch,Total catch across all fisheries for this population in the year.,,POP_YEAR
SPAWNERS,Spawners,Total number of spawners (fish that returned to spawn) for the year.,,POP_YEAR
OCEAN_RUN_SIZE,Ocean Run Size,Ocean Run Size,,POP_YEAR
TERMINAL_RUN_SIZE,Terminal Run Size,Terminal Run Size,,POP_YEAR
TOTAL_RUN_SIZE,Total Run Size,Total Run Size,,POP_YEAR
TOTAL_EXPLOITATION_RATE,Total Exploitation Rate,Total Exploitation Rate (all types),,POP_YEAR
OCEAN_EXPLOITATION_RATE,Ocean Exploitation Rate,Ocean Exploitation Rate,,POP_YEAR
MAINSTEM_CATCH,Mainstem Catch,Catch in mainstem fisheries (in-river mainstem fisheries).,,POP_YEAR
TOTAL_SPAWNERS,Total Spawners,Total number of spawners (fish that returned to spawn) for the year.,,POP_YEAR
TOTAL_OCEAN_RUN,Total Ocean Run,Total Ocean Run Size,,POP_YEAR
TOTAL_TERMINAL_RUN,Total Terminal Run,Total Terminal Run Size,,POP_YEAR
SPAWNERS_AGE_1,Spawners (Age 1),Number of spawners at age 1.,,POP_YEAR
SPAWNERS_AGE_2,Spawners (Age 2),Number of spawners at age 2.,,POP_YEAR
SPAWNERS_AGE_3,Spawners (Age 3),Number of spawners at age 3.,,POP_YEAR
SPAWNERS_AGE_4,Spawners (Age 4),Number of spawners at age 4.,,POP_YEAR
SPAWNERS_AGE_5,Spawners (Age 5),Number of spawners at age 5.,,POP_YEAR
SPAWNERS_AGE_6,Spawners (Age 6),Number of spawners at age 6.,,POP_YEAR
SPAWNERS_AGE_7,Spawners (Age 7),Number of spawners at age 7.,,POP_YEAR
RUN_AGE_1,Run Age 1,Run Age 1 Count,,POP_YEAR
RUN_AGE_2,Run Age 2,Run Age 2 Count,,POP_YEAR
RUN_AGE_3,Run Age 3,Run Age 3 Count,,POP_YEAR
RUN_AGE_4,Run Age 4,Run Age 4 Count,,POP_YEAR
RUN_AGE_5,Run Age 5,Run Age 5 Count,,POP_YEAR
RUN_AGE_6,Run Age 6,Run Age 6 Count,,POP_YEAR
RUN_AGE_7,Run Age 7,Run Age 7 Count,,POP_YEAR
CATCH_AGE_1,Catch Age 1,Catch Age 1 Count,,POP_YEAR
CATCH_AGE_2,Catch Age 2,Catch Age 2 Count,,POP_YEAR
CATCH_AGE_3,Catch Age 3,Catch Age 3 Count,,POP_YEAR
CATCH_AGE_4,Catch Age 4,Catch Age 4 Count,,POP_YEAR
CATCH_AGE_5,Catch Age 5,Catch Age 5 Count,,POP_YEAR
CATCH_AGE_6,Catch Age 6,Catch Age 6 Count,,POP_YEAR
CATCH_AGE_7,Catch Age 7,Catch Age 7 Count,,POP_YEAR
PHOS,pHOS,Proportion of hatchery-origin spawners (pHOS).,,POP_YEAR
TOTAL_BROODSTOCK_REMOVED,Total Broodstock Removed,Definition not provided.,Yes,POP_YEAR
HATCHERY_ORIGIN_BROODSTOCK,Hatchery Origin Broodstock,Definition not provided.,Yes,POP_YEAR
NATURAL_ORIGIN_BROODSTOCK,Natural Origin Broodstock,Definition not provided.,Yes,POP_YEAR
ENHANCEMENT_OBJECTIVE,Enhancement Objective,Definition not provided.,Yes,POP_YEAR
ENHANCEMENT_TARGET,Enhancement Target,Definition not provided.,Yes,POP_YEAR
MARINE_SURVIVAL_INDEX,Marine Survival Index,Definition not provided.,Yes,POP_YEAR
EXPANSION_FACTOR,Expansion Factor,Definition not provided.,Yes,POP_YEAR
