Field,Short definition,Long definition,Unmatched field,table
ID,ID,Auto-generated unique identifier for the record.,,Population
POP_ID,Population ID,Population ID,,Population
POP_NAME,Population Name,Population Name,,Population
CU_ID,CU ID,Alphanumeric ID number for conservation unit (CU) demographic unit. An official list of CU ID's and corresponding names can be found in the SMU/CU crosswalk in NuSEDS.,Yes,Population
SMU_ID,SMU_ID,Alphanumeric ID number for stock management unit (SMU) to which this population belongs.,Yes,Population
LIFE_HISTORY_TYPE,Life History Type,Describes the life cycle patterns of the salmon,Yes,Population
CU_TYPE,CU Type,There are currently nine Conservation Unit (CU) groupings for Pacific salmon.,Yes,Population
DFO_AREA,DFO Area,"The DFO (Fisheries and Oceans Canada) area that the unit resides in, either South Coast, North Coast, Fraser and Interior, Yukon Transboundary.",Yes,Population
LRP,Limit Reference Point,The limit reference point (LRP) represents the lower bound below which the stock is considered to have suffered serious harm.,Yes,Population
USR,Upper Stock Reference,"The upper stock reference (USR) is to serves as an upper stock status threshold, signaling when management actions should be taken to reduce harvest.",Yes,Population
TR,Target Reference,"A management target reference point that represents a desirable level for the stock, above the USR.",Yes,Population
RR,Removal Reference,Removal Reference (RR) represents the maximum allowable removal rate (fraction of the population that can be harvested).,Yes,Population
LOWER_BIO_BENCHMARK,Lower Biological Benchmark,Definition not provided.,Yes,Population
UPPER_BIO_BENCHMARK,Upper Biological Benchmark,Definition not provided.,Yes,Population
LOWER_WSP_BENCHMARK,Lower WSP Benchmark,Lower Wild Salmon Policy Benchmark,,Population
UPPER_WSP_BENCHMARK,Upper WSP Benchmark,Upper Wild Salmon Policy Benchmark,,Population
