dataset_id,table_id,column_name,column_label,column_description,column_role,value_type,term_iri,property_iri,entity_iri,unit_iri,constraint_iri,method_iri,required
spsr,pfma,id,ID,Auto-generated unique identifier for the record.,identifier,string,,,https://w3id.org/gcdfo/salmon#Stock,,,,
spsr,pfma,pfma_id,PFMA ID,Pacific Fishery Management Area ID,identifier,string,,,https://w3id.org/gcdfo/salmon#Stock,,,,
spsr,pfma,pfma_name,PFMA Name,Pacific Fishery Management Area Name,attribute,string,,,https://w3id.org/gcdfo/salmon#Stock,,,,
spsr,pfma,dfo_area,DFO Area,"The DFO (Fisheries and Oceans Canada) area that the unit resides in, either South Coast, North Coast, Fraser and Interior, Yukon Transboundary.",attribute,string,,,https://w3id.org/gcdfo/salmon#Stock,,,,
spsr,pfma_year,pfma_id,PFMA ID,Pacific Fishery Management Area ID,identifier,string,,,https://w3id.org/gcdfo/salmon#Stock,,,,
spsr,pfma_year,id,ID,Auto-generated unique identifier for the record.,identifier,string,,,https://w3id.org/gcdfo/salmon#Stock,,,,
spsr,pfma_year,year,Year,Year of Data,temporal,integer,,,https://w3id.org/gcdfo/salmon#Stock,,,,
spsr,pfma_year,total_catch,Total Catch,Total Catch,measurement,integer,http://rs.tdwg.org/dwc/terms/individualCount,http://qudt.org/vocab/quantitykind/Count,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/NUM,https://w3id.org/gcdfo/salmon#CatchContext,,
spsr,pfma_year,spawners,Spawners,Total number of spawners (fish that returned to spawn) for the year.,measurement,number,http://rs.tdwg.org/dwc/terms/individualCount,http://qudt.org/vocab/quantitykind/Count,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/NUM,https://w3id.org/gcdfo/salmon#SpawnerStageContext,,
spsr,pfma_year,ocean_run_size,Ocean Run Size,Ocean Run Size,measurement,integer,http://rs.tdwg.org/dwc/terms/individualCount,http://qudt.org/vocab/quantitykind/Count,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/NUM,https://w3id.org/gcdfo/salmon#OceanPhase;https://w3id.org/gcdfo/salmon#RunContext,,
spsr,pfma_year,terminal_run_size,Terminal Run Size,Terminal Run Size,measurement,number,http://rs.tdwg.org/dwc/terms/individualCount,http://qudt.org/vocab/quantitykind/Count,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/NUM,https://w3id.org/gcdfo/salmon#TerminalPhase;https://w3id.org/gcdfo/salmon#RunContext,,
spsr,pfma_year,total_run_size,Total Run Size,Total Run Size,measurement,integer,http://rs.tdwg.org/dwc/terms/individualCount,http://qudt.org/vocab/quantitykind/Count,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/NUM,https://w3id.org/gcdfo/salmon#RunContext,,
spsr,pfma_year,total_exploitation_rate,Total Exploitation Rate,Total Exploitation Rate (all types),measurement,number,https://w3id.org/gcdfo/salmon#TotalExploitationRate,http://qudt.org/vocab/quantitykind/DimensionlessRatio,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/UNITLESS,https://w3id.org/gcdfo/salmon#CatchContext,,
spsr,pfma_year,ocean_exploitation_rate,Ocean Exploitation Rate,Ocean Exploitation Rate,measurement,number,https://w3id.org/gcdfo/salmon#ExploitationRate,http://qudt.org/vocab/quantitykind/DimensionlessRatio,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/UNITLESS,https://w3id.org/gcdfo/salmon#OceanPhase;https://w3id.org/gcdfo/salmon#CatchContext,,
spsr,pfma_year,mainstem_catch,Mainstem Catch,Catch in mainstem fisheries (in-river mainstem fisheries).,measurement,integer,http://rs.tdwg.org/dwc/terms/individualCount,http://qudt.org/vocab/quantitykind/Count,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/NUM,https://w3id.org/gcdfo/salmon#MainstemPhase;https://w3id.org/gcdfo/salmon#CatchContext,,
spsr,pfma_year,total_spawners,Total Spawners,Total number of spawners (fish that returned to spawn) for the year.,measurement,number,http://rs.tdwg.org/dwc/terms/individualCount,http://qudt.org/vocab/quantitykind/Count,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/NUM,https://w3id.org/gcdfo/salmon#SpawnerStageContext,,
spsr,pfma_year,total_ocean_run,Total Ocean Run,Total Ocean Run Size,measurement,integer,http://rs.tdwg.org/dwc/terms/individualCount,http://qudt.org/vocab/quantitykind/Count,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/NUM,https://w3id.org/gcdfo/salmon#RunContext,,
spsr,pfma_year,total_terminal_run,Total Terminal Run,Total Terminal Run Size,measurement,number,http://rs.tdwg.org/dwc/terms/individualCount,http://qudt.org/vocab/quantitykind/Count,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/NUM,https://w3id.org/gcdfo/salmon#RunContext,,
spsr,pfma_year,spawners_age_1,Spawners Age 1,Spawners Age 1 Count,measurement,number,http://rs.tdwg.org/dwc/terms/individualCount,http://qudt.org/vocab/quantitykind/Count,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/NUM,https://w3id.org/gcdfo/salmon#Age1YearClass;https://w3id.org/gcdfo/salmon#SpawnerStageContext,,
spsr,pfma_year,spawners_age_2,Spawners Age 2,Spawners Age 2 Count,measurement,number,http://rs.tdwg.org/dwc/terms/individualCount,http://qudt.org/vocab/quantitykind/Count,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/NUM,https://w3id.org/gcdfo/salmon#Age2YearClass;https://w3id.org/gcdfo/salmon#SpawnerStageContext,,
spsr,pfma_year,spawners_age_3,Spawners Age 3,Spawners Age 3 Count,measurement,number,http://rs.tdwg.org/dwc/terms/individualCount,http://qudt.org/vocab/quantitykind/Count,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/NUM,https://w3id.org/gcdfo/salmon#Age3YearClass;https://w3id.org/gcdfo/salmon#SpawnerStageContext,,
spsr,pfma_year,spawners_age_4,Spawners Age 4,Spawners Age 4 Count,measurement,number,http://rs.tdwg.org/dwc/terms/individualCount,http://qudt.org/vocab/quantitykind/Count,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/NUM,https://w3id.org/gcdfo/salmon#Age4YearClass;https://w3id.org/gcdfo/salmon#SpawnerStageContext,,
spsr,pfma_year,spawners_age_5,Spawners Age 5,Spawners Age 5 Count,measurement,number,http://rs.tdwg.org/dwc/terms/individualCount,http://qudt.org/vocab/quantitykind/Count,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/NUM,https://w3id.org/gcdfo/salmon#Age5YearClass;https://w3id.org/gcdfo/salmon#SpawnerStageContext,,
spsr,pfma_year,spawners_age_6,Spawners Age 6,Spawners Age 6 Count,measurement,number,http://rs.tdwg.org/dwc/terms/individualCount,http://qudt.org/vocab/quantitykind/Count,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/NUM,https://w3id.org/gcdfo/salmon#Age6YearClass;https://w3id.org/gcdfo/salmon#SpawnerStageContext,,
spsr,pfma_year,spawners_age_7,Spawners Age 7,Spawners Age 7 Count,measurement,number,http://rs.tdwg.org/dwc/terms/individualCount,http://qudt.org/vocab/quantitykind/Count,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/NUM,https://w3id.org/gcdfo/salmon#Age7YearClass;https://w3id.org/gcdfo/salmon#SpawnerStageContext,,
spsr,pfma_year,run_age_1,Run Age 1,Run Age 1 Count,measurement,integer,http://rs.tdwg.org/dwc/terms/individualCount,http://qudt.org/vocab/quantitykind/Count,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/NUM,https://w3id.org/gcdfo/salmon#Age1YearClass;https://w3id.org/gcdfo/salmon#RunContext,,
spsr,pfma_year,run_age_2,Run Age 2,Run Age 2 Count,measurement,integer,http://rs.tdwg.org/dwc/terms/individualCount,http://qudt.org/vocab/quantitykind/Count,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/NUM,https://w3id.org/gcdfo/salmon#Age2YearClass;https://w3id.org/gcdfo/salmon#RunContext,,
