term_label,term_definition,term_type,suggested_parent_iri,definition_source_url,suggested_relationships,notes
Mainstem mortality rate,Proportion of salmon mortality attributed to mainstem phase.,owl_class,https://w3id.org/gcdfo/salmon#ObservedRateOrAbundance,,phase=MainstemPhase; context=SurvivalOrMortalityContext,column_name=mainstem_mortality_rate; No canonical mortality-rate subclass exists yet.
Ocean mortality rate,Proportion of salmon mortality attributed to ocean phase.,owl_class,https://w3id.org/gcdfo/salmon#ObservedRateOrAbundance,,phase=OceanPhase; context=SurvivalOrMortalityContext,column_name=ocean_mortality_rate; No canonical mortality-rate subclass exists yet.
Terminal mortality rate,Proportion of salmon mortality attributed to terminal phase.,owl_class,https://w3id.org/gcdfo/salmon#ObservedRateOrAbundance,,phase=TerminalPhase; context=SurvivalOrMortalityContext,column_name=terminal_mortality_rate; No canonical mortality-rate subclass exists yet.
CWT marine survival rate,Marine survival rate estimated from coded-wire-tag data.,owl_class,https://w3id.org/gcdfo/salmon#ObservedRateOrAbundance,,phase=OceanPhase; context=SurvivalOrMortalityContext,column_name=cwt_marine_survival_rate; No canonical marine-survival class exists yet.
In-river mortality rate,Proportion of salmon mortality occurring during in-river migration.,owl_class,https://w3id.org/gcdfo/salmon#ObservedRateOrAbundance,,phase=InRiverPhase; context=SurvivalOrMortalityContext,column_name=in_river_mortality_rate; No canonical mortality-rate subclass exists yet.
Total mortality rate,Total mortality proportion across all phases for a reporting unit and year.,owl_class,https://w3id.org/gcdfo/salmon#ObservedRateOrAbundance,,context=SurvivalOrMortalityContext,column_name=total_mortality_rate; No canonical total mortality-rate subclass exists yet.
Proportion of hatchery-origin spawners (pHOS),Proportion of spawning fish of hatchery origin in a reporting unit and year.,owl_class,https://w3id.org/gcdfo/salmon#ObservedRateOrAbundance,,origin=HatcheryOrigin; context=SpawnerStageContext,column_name=phos; Widely used indicator; no canonical pHOS class yet.
Marine survival index,Indexed marine survival metric used in indicator/population summaries.,owl_class,https://w3id.org/gcdfo/salmon#ObservedRateOrAbundance,,phase=OceanPhase; context=SurvivalOrMortalityContext,column_name=marine_survival_index; No canonical marine-survival-index class exists yet.
Expansion factor,Scalar factor used to expand observed counts to estimated totals.,skos_concept,https://w3id.org/gcdfo/salmon#ExpansionMathematicalOperations,,context=MeasurementContext,column_name=expansion_factor; May also be modeled as method/procedure metadata.
Spawner abundance,Abundance of spawners in a unit and year.,owl_class,https://w3id.org/gcdfo/salmon#ObservedRateOrAbundance,,context=SpawnerStageContext,column_name=spawner_abundance; No canonical spawner-abundance class yet.
Relative spawner abundance,Relative spawner abundance metric normalized to a baseline.,owl_class,https://w3id.org/gcdfo/salmon#ObservedRateOrAbundance,,context=SpawnerStageContext,column_name=relative_spawner_abundance; No canonical relative-spawner-abundance class yet.
Relative wild spawner abundance,Relative abundance of wild-origin spawners normalized to a baseline.,owl_class,https://w3id.org/gcdfo/salmon#ObservedRateOrAbundance,,context=SpawnerStageContext; origin=NaturalOrigin,column_name=relative_wild_spawner_abundance; No canonical relative wild spawner-abundance class yet.
Relative hatchery spawner abundance,Relative abundance of hatchery-origin spawners normalized to a baseline.,owl_class,https://w3id.org/gcdfo/salmon#ObservedRateOrAbundance,,context=SpawnerStageContext; origin=HatcheryOrigin,column_name=relative_hatchery_spawner_abundance; No canonical relative hatchery spawner-abundance class yet.
Spawner abundance change,Change in spawner abundance between reference periods.,owl_class,https://w3id.org/gcdfo/salmon#ObservedRateOrAbundance,,context=ManagementReferenceContext,column_name=spawner_abundance_change; No canonical change-metric class exists yet.
Relative spawner abundance change,Change in relative spawner abundance between reference periods.,owl_class,https://w3id.org/gcdfo/salmon#ObservedRateOrAbundance,,context=ManagementReferenceContext,column_name=relative_spawner_abundance_change; No canonical change-metric class exists yet.
Relative wild spawner abundance change,Change in relative wild spawner abundance between reference periods.,owl_class,https://w3id.org/gcdfo/salmon#ObservedRateOrAbundance,,context=ManagementReferenceContext; origin=NaturalOrigin,column_name=relative_wild_spawner_abundance_change; No canonical change-metric class exists yet.
Relative hatchery spawner abundance change,Change in relative hatchery spawner abundance between reference periods.,owl_class,https://w3id.org/gcdfo/salmon#ObservedRateOrAbundance,,context=ManagementReferenceContext; origin=HatcheryOrigin,column_name=relative_hatchery_spawner_abundance_change; No canonical change-metric class exists yet.
Spawner abundance trend,Trend metric derived from spawner abundance across years.,owl_class,https://w3id.org/gcdfo/salmon#ObservedRateOrAbundance,,context=ManagementReferenceContext,column_name=spawner_abundance_trend; No canonical trend-metric class exists yet.
Relative spawner abundance trend,Trend metric derived from relative spawner abundance across years.,owl_class,https://w3id.org/gcdfo/salmon#ObservedRateOrAbundance,,context=ManagementReferenceContext,column_name=relative_spawner_abundance_trend; No canonical trend-metric class exists yet.
Relative wild spawner abundance trend,Trend metric derived from relative wild spawner abundance across years.,owl_class,https://w3id.org/gcdfo/salmon#ObservedRateOrAbundance,,context=ManagementReferenceContext; origin=NaturalOrigin,column_name=relative_wild_spawner_abundance_trend; No canonical trend-metric class exists yet.
