dataset_id,table_id,file_name,table_label,description,observation_unit
spsr,pfma,pfma.csv,PFMA reference/summary,SPSR dictionary table for pfma.,PFMA record
spsr,pfma_year,pfma_year.csv,PFMA annual measurements,SPSR dictionary table for pfma_year.,PFMA year record
spsr,cu_metadata,cu_metadata.csv,CU metadata,SPSR dictionary table for cu_metadata.,conservation unit metadata record
spsr,smu_metadata,smu_metadata.csv,SMU metadata,SPSR dictionary table for smu_metadata.,stock management unit metadata record
spsr,smu_year,smu_year.csv,SMU annual measurements,SPSR dictionary table for smu_year.,stock management unit year record
spsr,population,population.csv,Population reference/summary,SPSR dictionary table for population.,population record
spsr,pop_year,pop_year.csv,Population annual measurements,SPSR dictionary table for pop_year.,population year record
spsr,custatus,custatus.csv,CU status metrics,SPSR dictionary table for custatus.,conservation unit status record
spsr,pop_metadata,pop_metadata.csv,Population metadata,SPSR dictionary table for pop_metadata.,population metadata record
spsr,cu,cu.csv,CU reference/summary,SPSR dictionary table for cu.,conservation unit record
spsr,smu,smu.csv,SMU reference/summary,SPSR dictionary table for smu.,stock management unit record
spsr,indicator_metadata,indicator_metadata.csv,Indicator metadata,SPSR dictionary table for indicator_metadata.,indicator metadata record
spsr,cuyear,cuyear.csv,CU annual measurements,SPSR dictionary table for cuyear.,conservation unit year record
spsr,pfma_metadata,pfma_metadata.csv,PFMA metadata,SPSR dictionary table for pfma_metadata.,PFMA metadata record
spsr,indicator_year,indicator_year.csv,Indicator annual measurements,SPSR dictionary table for indicator_year.,indicator year record
