Field,Short definition,Long definition,Unmatched field,table
SMU_ID,SMU ID,Alphanumeric ID number for stock management unit (SMU) demographic unit. An official list of SMU ID's and corresponding names can be found in the NuSEDS CU/SMU Crosswalk,,SMU_YEAR
YEAR,Year,The year measurements were captured (please see Year Type for definition of year).,,SMU_YEAR
MAINSTEM_AGE_1,Mainstem (Age 1),Number of fish caught in mainstem at age 1.,,SMU_YEAR
MAINSTEM_AGE_2,Mainstem (Age 2),Number of fish caught in mainstem at age 2.,,SMU_YEAR
MAINSTEM_AGE_3,Maintsem (Age 3),Number of fish caught in mainstem at age 3.,,SMU_YEAR
MAINSTEM_AGE_4,Mainstem (Age 4),The number of fish caught in the mainstem at age 4.,Yes,SMU_YEAR
MAINSTEM_AGE_5,Mainstem (Age 5),The number of fish caught in the mainstem at age 5.,Yes,SMU_YEAR
MAINSTEM_AGE_6,Mainstem (Age 6),The number of fish caught in the mainstem at age 6.,Yes,SMU_YEAR
MAINSTEM_AGE_7,Mainstem (Age 7),The number of fish caught in the mainstem at age 7.,Yes,SMU_YEAR
MAINSTEM_MORTALITY_RATE,Mainstem Mortality,The proportion of a population that dies during the freshwater phase (mainstem).,,SMU_YEAR
OCEAN_MORTALITY_RATE,Ocean Mortality,The proportion of a population that dies during the marine phase (ocean).,,SMU_YEAR
TERMINAL_MORTALITY_RATE,Terminal Mortality,"The proportion of a population that dies during the terminal phase (e.g., in-river fishery, if applicable).",,SMU_YEAR
CWT_MARINE_SURVIVAL_RATE,CWT Marine Survival,Coded Wire Tag marine survival rate (survival of tagged fish in the ocean).,,SMU_YEAR
IN_RIVER_MORTALITY_RATE,Total Mortality,Thee proportion of a population that dies during the in-river phase.,Yes,SMU_YEAR
TOTAL_MORTALITY_RATE,Total Mortality,The proportion of a fish population that dies from all causes over the time period.,,SMU_YEAR
OCEAN_CATCH,Ocean Catch,Number of fish caught in ocean fisheries.,,SMU_YEAR
OCEAN_AGE_1,Ocean (Age 1),Number of fish caught in ocean at age 1.,,SMU_YEAR
OCEAN_AGE_2,Ocean (Age 2),Number of fish caught in ocean at age 2.,,SMU_YEAR
OCEAN_AGE_3,Ocean (Age 3),Number of fish caught in ocean at age 3.,,SMU_YEAR
OCEAN_AGE_4,Ocean (Age 4),Number of fish caught in ocean at age 4.,,SMU_YEAR
OCEAN_AGE_5,Ocean (Age 5),Number of fish caught in ocean at age 5.,,SMU_YEAR
OCEAN_AGE_6,Ocean (Age 6),Number of fish caught in ocean at age 6.,,SMU_YEAR
OCEAN_AGE_7,Ocean (Age 7),Number of fish caught in ocean at age 7.,,SMU_YEAR
TERMINAL_CATCH,Terminal Catch,Number of fish caught in terminal (in-river) fisheries.,,SMU_YEAR
TERMINAL_AGE_1,Terminal (Age 1),Number of fish caught in terminal (in-river) fisheries at age 1.,,SMU_YEAR
TERMINAL_AGE_2,Terminal (Age 2),Number of fish caught in terminal (in-river) fisheries at age 2.,,SMU_YEAR
TERMINAL_AGE_3,Terminal (Age 3),Number of fish caught in terminal (in-river) fisheries at age 3.,,SMU_YEAR
TERMINAL_AGE_4,Terminal (Age 4),Number of fish caught in terminal (in-river) fisheries at age 4.,,SMU_YEAR
TERMINAL_AGE_5,Terminal (Age 5),Number of fish caught in terminal (in-river) fisheries at age 5.,,SMU_YEAR
TERMINAL_AGE_6,Terminal (Age 6),Number of fish caught in terminal (in-river) fisheries at age 6.,,SMU_YEAR
TERMINAL_AGE_7,Terminal (Age 7),Number of fish caught in terminal (in-river) fisheries at age 7.,,SMU_YEAR
TOTAL_CATCH,Total Catch,"This includes harvest numbers from commercial, FSC, and recreational fisheries.",,SMU_YEAR
RECRUITS,Recruits,"The number of new fish are added to a population (via spawning) for a given year, not including existing spawners.",,SMU_YEAR
TOTAL_RUN,Total Run Size,The number of salmon returning to a given system (often spawners plus catch).,,SMU_YEAR
TOTAL_FISHERY_MORTALITY_RATE,Total Exploitation,The proportion of a fish population that is harvested (exploited) by fisheries.,Yes,SMU_YEAR
ID,ID,Auto-generated unique identifier for the record.,,SMU_YEAR
TOTAL_EXPLOITATION_RATE,Total Exploitation Rate,Total Exploitation Rate (all types),,SMU_YEAR
OCEAN_EXPLOITATION_RATE,Ocean Exploitation Rate,Ocean Exploitation Rate,,SMU_YEAR
MAINSTEM_CATCH,Mainstem Catch,Catch in mainstem fisheries (in-river mainstem fisheries).,,SMU_YEAR
TOTAL_SPAWNERS,Total Spawners,Total number of spawners (fish that returned to spawn) for the year.,,SMU_YEAR
TOTAL_OCEAN_RUN,Total Ocean Run,Total Ocean Run Size,,SMU_YEAR
TOTAL_TERMINAL_RUN,Total Terminal Run,Total Terminal Run Size,,SMU_YEAR
SPAWNERS_AGE_1,Spawners Age 1,Spawners Age 1 Count,,SMU_YEAR
SPAWNERS_AGE_2,Spawners Age 2,Spawners Age 2 Count,,SMU_YEAR
SPAWNERS_AGE_3,Spawners Age 3,Spawners Age 3 Count,,SMU_YEAR
SPAWNERS_AGE_4,Spawners Age 4,Spawners Age 4 Count,,SMU_YEAR
SPAWNERS_AGE_5,Spawners Age 5,Spawners Age 5 Count,,SMU_YEAR
SPAWNERS_AGE_6,Spawners Age 6,Spawners Age 6 Count,,SMU_YEAR
SPAWNERS_AGE_7,Spawners Age 7,Spawners Age 7 Count,,SMU_YEAR
RUN_AGE_1,Run Age 1,Run Age 1 Count,,SMU_YEAR
RUN_AGE_2,Run Age 2,Run Age 2 Count,,SMU_YEAR
RUN_AGE_3,Run Age 3,Run Age 3 Count,,SMU_YEAR
RUN_AGE_4,Run Age 4,Run Age 4 Count,,SMU_YEAR
RUN_AGE_5,Run Age 5,Run Age 5 Count,,SMU_YEAR
RUN_AGE_6,Run Age 6,Run Age 6 Count,,SMU_YEAR
RUN_AGE_7,Run Age 7,Run Age 7 Count,,SMU_YEAR
CATCH_AGE_1,Catch Age 1,Catch Age 1 Count,,SMU_YEAR
CATCH_AGE_2,Catch Age 2,Catch Age 2 Count,,SMU_YEAR
CATCH_AGE_3,Catch Age 3,Catch Age 3 Count,,SMU_YEAR
CATCH_AGE_4,Catch Age 4,Catch Age 4 Count,,SMU_YEAR
CATCH_AGE_5,Catch Age 5,Catch Age 5 Count,,SMU_YEAR
CATCH_AGE_6,Catch Age 6,Catch Age 6 Count,,SMU_YEAR
CATCH_AGE_7,Catch Age 7,Catch Age 7 Count,,SMU_YEAR
